PROMPT,CATEGORY,DIFFICULTY,LANGUAGE
Autonomous school bus,P1,Easy,en
Autonomous medical transportation,P2,Medium,en
Autonomous drone surveillance of sporting events,P3,Hard,en
Autonomous robot vacuum,P4,Easy,en
Blood delivery via Drone,P5,Medium,en
Drone delivery (air),P6,Medium,en
Autonomous package delivery,P7,Easy,en
Follow me drones,P8,Medium,en
Autonomous parking lot vehicle,P9,Hard,en
Autonomous Inspection drones,P10,Medium,en
Autonomous manufacturing robots (arms),P11,Hard,en
Autonomous warehouse robots,P12,Medium,en
Delivery robot in hospital,P13,Easy,en
Sidewalk delivery robot,P14,Medium,en
Delivery robot for hotel,P15,Easy,en
Autonomous COVID checking robot,P16,Medium,en
Autonomous picking for agriculture,P17,Hard,en
Autonomous Picking products warehouse robots,P18,Hard,en
Autonomous robot pet for companionship,P19,Medium,en
Autonomous weeding machines,P20,Medium,en
Autonomous planting robots,P21,Hard,en
Autonomous take out food delivery,P22,Easy,en
Autonomous wheelchairs,P23,Medium,en
Computer vision system to identify weeds in a field,P24,Medium,en
Automated stock picker based on twitter commentary,P25,Hard,en
Automated flight planning for neighborhood drone delivery,P26,Medium,en
Automated scheduling system for hotel workers,P27,Medium,en
Automated emotion identification for customs interviews,P28,Hard,en
Computer vision to identify faces for access to offices,P29,Medium,en
Automated stock picker that uses computer vision to identify products,P30,Medium,en
Automated recommendation system for financial planning,P31,Medium,en
Automated food recommender for specialty diet,P32,Easy,en
Exercise recommender based on daily movement and health information,P33,Easy,en
Deepfake generation of deceased actors for new movies,P34,Hard,en
Automated risk detection for financial support,P35,Medium,en
Automated cancer treatment recommendation system,P36,Hard,en
Automated route selection for GPS,P37,Easy,en
Automated task prioritization for software development team,P38,Medium,en
Generative playwriting system,P39,Hard,en
Generative music,P40,Medium,en
Automated sentiment identification for dating application,P41,Medium,en
Automated resume matching for HR system,P42,Medium,en
Automated emotion detection for HR system,P43,Hard,en
Automated recommendation system for shopping,P44,Easy,en
Computer vision analysis of satellite data for distributing emergency services,P45,Hard,en
Generative artwork,P46,Medium,en
Personalized and automated advertisement creation,P47,Medium,en
Disaster recovery robots,P48,Hard,en
Automated wildfire fighting drones,P49,Medium,en
Companion robot for elderly,P50,Easy,en 
Companion robot for children,P51,Easy,en
Companion robot for the lonely,P52,Easy,en
